id;level;section;heading;text;important;dependencies
NFR-0000;2;1.1;Concurrencia;Requisitos de Concurrencia para el área de Rendimiento;84;
NFR-0001;3;1.1.1;Requisito de acceso;La arquitectura debe cumplir con los estándares de seguridad con un impacto mínimo en UX.;91;
NFR-0002;3;1.1.2;Requisito de auditoría;El sistema debe cumplir con el rendimiento bajo carga máxima con un impacto mínimo en UX.;90;
NFR-0003;3;1.1.3;Política de usabilidad;La arquitectura debe implementar los estándares de seguridad manteniendo consistencia transaccional.;88;
NFR-0004;3;1.1.4;Política de escalabilidad;La arquitectura debe implementar la escalabilidad automática durante operaciones críticas.;79;
NFR-0005;3;1.1.5;Requisito de usabilidad;La arquitectura debe verificar los estándares de seguridad manteniendo consistencia transaccional.;94;
NFR-0006;3;1.1.6;Control de acceso;Como usuario requiero que garantizar la protección de datos sensibles durante operaciones críticas.;79;
NFR-0007;3;1.1.7;Requisito de escalabilidad;El sistema debe cumplir con los estándares de seguridad manteniendo consistencia transaccional.;71;
NFR-0008;3;1.1.8;Control de escalabilidad;El sistema debe asegurar la protección de datos sensibles durante operaciones críticas.;88;
NFR-0009;3;1.1.9;Cumplimiento usabilidad;La arquitectura debe garantizar el rendimiento bajo carga máxima manteniendo consistencia transaccional.;84;
NFR-0010;3;1.1.10;Política de usabilidad;La arquitectura debe garantizar la escalabilidad automática con un impacto mínimo en UX.;79;
NFR-0011;3;1.1.11;Garantía de rendimiento;Como usuario requiero que verificar la disponibilidad continua manteniendo consistencia transaccional.;79;
NFR-0012;3;1.1.12;Requisito de recuperación;La arquitectura debe implementar los estándares de seguridad con un impacto mínimo en UX.;94;
NFR-0013;3;1.1.13;Requisito de acceso;Como usuario requiero que implementar el rendimiento bajo carga máxima con un impacto mínimo en UX.;82;
NFR-0014;3;1.1.14;Garantía de integridad;Como usuario requiero que garantizar la disponibilidad continua manteniendo consistencia transaccional.;73;
NFR-0015;3;1.1.15;Política de integridad;La arquitectura debe garantizar los estándares de seguridad con un impacto mínimo en UX.;79;
NFR-0016;3;1.1.16;Requisito de disponibilidad;Como usuario requiero que verificar los estándares de seguridad en todos los entornos operativos.;90;
NFR-0017;3;1.1.17;Requisito de rendimiento;Como usuario requiero que implementar los estándares de seguridad siguiendo las mejores prácticas del sector.;90;
NFR-0018;3;1.1.18;Garantía de rendimiento;El sistema debe garantizar la escalabilidad automática siguiendo las mejores prácticas del sector.;80;
NFR-0019;3;1.1.19;Control de escalabilidad;Como usuario requiero que cumplir con los estándares de seguridad siguiendo las mejores prácticas del sector.;76;
NFR-0020;3;1.1.20;Política de seguridad;Como usuario requiero que cumplir con el rendimiento bajo carga máxima durante operaciones críticas.;73;
NFR-0021;3;1.1.21;Requisito de usabilidad;Como usuario requiero que asegurar la escalabilidad automática manteniendo consistencia transaccional.;83;
NFR-0022;3;1.1.22;Control de seguridad;El sistema debe verificar la protección de datos sensibles siguiendo las mejores prácticas del sector.;87;
NFR-0023;3;1.1.23;Requisito de integridad;La arquitectura debe verificar el rendimiento bajo carga máxima en todos los entornos operativos.;72;
NFR-0024;3;1.1.24;Cumplimiento disponibilidad;El sistema debe implementar la disponibilidad continua durante operaciones críticas.;90;
NFR-0025;3;1.1.25;Garantía de auditoría;La arquitectura debe cumplir con la disponibilidad continua siguiendo las mejores prácticas del sector.;71;
NFR-0026;3;1.1.26;Garantía de escalabilidad;El sistema debe asegurar la protección de datos sensibles manteniendo consistencia transaccional.;77;
NFR-0027;3;1.1.27;Garantía de recuperación;La arquitectura debe cumplir con el rendimiento bajo carga máxima manteniendo consistencia transaccional.;84;
NFR-0028;3;1.1.28;Requisito de rendimiento;Como usuario requiero que implementar la escalabilidad automática en todos los entornos operativos.;74;
